"Date","variable","value","Case"
2013-07-02,"Mleaf",214.57444686818,"0"
2013-07-03,"Mleaf",217.811645253158,"0"
2013-07-04,"Mleaf",220.677494532102,"0"
2013-07-05,"Mleaf",223.038093021577,"0"
2013-07-06,"Mleaf",225.551145099943,"0"
2013-07-07,"Mleaf",228.080335959691,"0"
2013-07-08,"Mleaf",230.424208270788,"0"
2013-07-09,"Mleaf",232.530992856004,"0"
2013-07-10,"Mleaf",232.84482500597,"0"
2013-07-11,"Mleaf",232.989340648875,"0"
2013-07-12,"Mleaf",235.186711969805,"0"
2013-07-13,"Mleaf",236.050463108648,"0"
2013-07-14,"Mleaf",237.002653348338,"0"
2013-07-15,"Mleaf",239.074444662277,"0"
2013-07-16,"Mleaf",238.774505774219,"0"
2013-07-17,"Mleaf",240.137984579793,"0"
2013-07-18,"Mleaf",241.674759727587,"0"
2013-07-19,"Mleaf",243.113553147636,"0"
2013-07-20,"Mleaf",242.367825330669,"0"
2013-07-21,"Mleaf",245.305006783403,"0"
2013-07-22,"Mleaf",248.675582769356,"0"
2013-07-23,"Mleaf",251.362522081726,"0"
2013-07-24,"Mleaf",253.537883201793,"0"
2013-07-25,"Mleaf",255.686048043958,"0"
2013-07-26,"Mleaf",258.376972258898,"0"
2013-07-27,"Mleaf",260.881483221451,"0"
2013-07-28,"Mleaf",263.436449910697,"0"
2013-07-29,"Mleaf",265.061301017834,"0"
2013-07-30,"Mleaf",267.178898707628,"0"
2013-07-31,"Mleaf",267.800163001244,"0"
2013-08-01,"Mleaf",266.73683013126,"0"
2013-08-02,"Mleaf",269.998788345431,"0"
2013-08-03,"Mleaf",272.281778364412,"0"
2013-08-04,"Mleaf",275.339827030737,"0"
2013-08-05,"Mleaf",277.722519090065,"0"
2013-08-06,"Mleaf",280.513893769325,"0"
2013-08-07,"Mleaf",282.684988854198,"0"
2013-08-08,"Mleaf",285.058728787875,"0"
2013-08-09,"Mleaf",285.544233141897,"0"
2013-08-10,"Mleaf",288.335012420298,"0"
2013-08-11,"Mleaf",291.500416290814,"0"
2013-08-12,"Mleaf",294.837770546223,"0"
2013-08-13,"Mleaf",296.652805348475,"0"
2013-08-14,"Mleaf",299.942108154085,"0"
