"Cstorage","Date","Case"
321.231526932064,2014-02-10,"0"
316.514620167071,2014-02-11,"0"
312.672873979901,2014-02-12,"0"
303.889391510341,2014-02-13,"0"
305.109501908071,2014-02-14,"0"
293.41375385617,2014-02-15,"0"
278.887279754278,2014-02-16,"0"
251.787585210247,2014-02-17,"0"
248.462042025477,2014-02-18,"0"
255.518723232288,2014-02-19,"0"
232.189117939487,2014-02-20,"0"
252.104477592373,2014-02-21,"0"
272.332040686553,2014-02-22,"0"
280.888189172676,2014-02-23,"0"
275.708225080081,2014-02-24,"0"
288.555941713504,2014-02-25,"0"
301.540657740349,2014-02-26,"0"
297.884873256164,2014-02-27,"0"
269.183395311349,2014-02-28,"0"
243.395412384319,2014-03-01,"0"
225.032538982753,2014-03-02,"0"
209.818423243079,2014-03-03,"0"
208.517706223911,2014-03-04,"0"
215.692311198167,2014-03-05,"0"
226.363414435983,2014-03-06,"0"
220.645460407979,2014-03-07,"0"
223.434332717084,2014-03-08,"0"
242.301729638045,2014-03-09,"0"
260.640942230654,2014-03-10,"0"
274.133592662928,2014-03-11,"0"
294.583382204986,2014-03-12,"0"
297.446322142683,2014-03-13,"0"
292.578798162806,2014-03-14,"0"
295.793208846697,2014-03-15,"0"
285.091498927732,2014-03-16,"0"
281.504103395508,2014-03-17,"0"
289.999782568976,2014-03-18,"0"
293.206548257137,2014-03-19,"0"
298.770118349409,2014-03-20,"0"
308.395847757088,2014-03-21,"0"
301.550345671545,2014-03-22,"0"
305.88851916951,2014-03-23,"0"
295.775531938421,2014-03-24,"0"
269.053530040615,2014-03-25,"0"
273.72448970139,2014-03-26,"0"
249.818079418977,2014-03-27,"0"
222.523248746424,2014-03-28,"0"
213.336621880171,2014-03-29,"0"
212.856488198338,2014-03-30,"0"
217.805052980863,2014-03-31,"0"
228.009484926597,2014-04-01,"0"
241.433933597644,2014-04-02,"0"
253.131066071145,2014-04-03,"0"
252.855838323541,2014-04-04,"0"
229.670674783123,2014-04-05,"0"
230.474844546948,2014-04-06,"0"
223.452005543038,2014-04-07,"0"
215.482578192559,2014-04-08,"0"
227.913025107384,2014-04-09,"0"
244.049808266205,2014-04-10,"0"
225.100927281736,2014-04-11,"0"
219.863351368767,2014-04-12,"0"
218.659276018914,2014-04-13,"0"
219.610296640222,2014-04-14,"0"
224.005741044427,2014-04-15,"0"
227.221393752294,2014-04-16,"0"
232.950132697471,2014-04-17,"0"
244.649579312247,2014-04-18,"0"
253.775675534292,2014-04-19,"0"
260.712990184269,2014-04-20,"0"
