"Date","variable","value","treatment","treat.type","no.param"
2013-09-21,"Mleaf.modelled",226.832602861693,"ambient","1","4"
2013-09-22,"Mleaf.modelled",230.556402180517,"ambient","1","4"
2013-09-23,"Mleaf.modelled",233.429342307064,"ambient","1","4"
2013-09-24,"Mleaf.modelled",236.230628843791,"ambient","1","4"
2013-09-25,"Mleaf.modelled",237.92140994905,"ambient","1","4"
2013-09-26,"Mleaf.modelled",241.016771968411,"ambient","1","4"
2013-09-27,"Mleaf.modelled",245.576328560612,"ambient","1","4"
2013-09-28,"Mleaf.modelled",250.40143788968,"ambient","1","4"
2013-09-29,"Mleaf.modelled",253.894199387042,"ambient","1","4"
2013-09-30,"Mleaf.modelled",258.422159738184,"ambient","1","4"
2013-10-01,"Mleaf.modelled",261.690682517244,"ambient","1","4"
2013-10-02,"Mleaf.modelled",263.282407765112,"ambient","1","4"
2013-10-03,"Mleaf.modelled",267.824239471652,"ambient","1","4"
2013-10-04,"Mleaf.modelled",270.784569009719,"ambient","1","4"
2013-10-05,"Mleaf.modelled",276.433346951643,"ambient","1","4"
2013-10-06,"Mleaf.modelled",280.314859072864,"ambient","1","4"
2013-10-07,"Mleaf.modelled",282.576834834418,"ambient","1","4"
2013-10-08,"Mleaf.modelled",287.358745307281,"ambient","1","4"
2013-10-09,"Mleaf.modelled",292.646484943315,"ambient","1","4"
2013-10-10,"Mleaf.modelled",296.529647741891,"ambient","1","4"
2013-10-11,"Mleaf.modelled",297.865692501768,"ambient","1","4"
2013-10-12,"Mleaf.modelled",303.879073615854,"ambient","1","4"
2013-10-13,"Mleaf.modelled",308.839232469263,"ambient","1","4"
2013-10-14,"Mleaf.modelled",313.099814326504,"ambient","1","4"
2013-10-15,"Mleaf.modelled",321.275853547957,"ambient","1","4"
2013-10-16,"Mleaf.modelled",327.452408996029,"ambient","1","4"
2013-10-17,"Mleaf.modelled",332.401546407549,"ambient","1","4"
2013-10-18,"Mleaf.modelled",333.963266705836,"ambient","1","4"
2013-10-19,"Mleaf.modelled",339.940134190131,"ambient","1","4"
2013-10-20,"Mleaf.modelled",345.18685557176,"ambient","1","4"
2013-10-21,"Mleaf.modelled",348.539486200864,"ambient","1","4"
2013-10-22,"Mleaf.modelled",350.937215256216,"ambient","1","4"
2013-10-23,"Mleaf.modelled",349.994876354903,"ambient","1","4"
2013-10-24,"Mleaf.modelled",354.209128669354,"ambient","1","4"
2013-10-25,"Mleaf.modelled",362.655622306432,"ambient","1","4"
2013-10-26,"Mleaf.modelled",368.140989648926,"ambient","1","4"
2013-10-27,"Mleaf.modelled",372.77476539366,"ambient","1","4"
2013-10-28,"Mleaf.modelled",377.15942696332,"ambient","1","4"
2013-10-29,"Mleaf.modelled",379.557779572057,"ambient","1","4"
2013-10-30,"Mleaf.modelled",379.489477449308,"ambient","1","4"
2013-10-31,"Mleaf.modelled",385.040396047118,"ambient","1","4"
2013-11-01,"Mleaf.modelled",390.855273439958,"ambient","1","4"
2013-11-02,"Mleaf.modelled",395.96092796131,"ambient","1","4"
2013-11-03,"Mleaf.modelled",399.503224155996,"ambient","1","4"
2013-11-04,"Mleaf.modelled",401.846277499521,"ambient","1","4"
2013-11-05,"Mleaf.modelled",410.814561887163,"ambient","1","4"
2013-11-06,"Mleaf.modelled",416.070144023029,"ambient","1","4"
2013-11-07,"Mleaf.modelled",423.642409150048,"ambient","1","4"
2013-11-08,"Mleaf.modelled",428.188755043329,"ambient","1","4"
2013-11-09,"Mleaf.modelled",430.976823323509,"ambient","1","4"
2013-11-10,"Mleaf.modelled",434.377913681933,"ambient","1","4"
2013-11-11,"Mleaf.modelled",432.389452586901,"ambient","1","4"
2013-11-12,"Mleaf.modelled",434.072247861626,"ambient","1","4"
2013-11-13,"Mleaf.modelled",439.383068002855,"ambient","1","4"
2013-11-14,"Mleaf.modelled",447.490770573809,"ambient","1","4"
2013-11-15,"Mleaf.modelled",454.848867852915,"ambient","1","4"
2013-11-16,"Mleaf.modelled",458.329730163702,"ambient","1","4"
2013-11-17,"Mleaf.modelled",459.471475041726,"ambient","1","4"
2013-11-18,"Mleaf.modelled",457.357104893723,"ambient","1","4"
2013-11-19,"Mleaf.modelled",455.14135798293,"ambient","1","4"
2013-11-20,"Mleaf.modelled",465.474865018996,"ambient","1","4"
2013-11-21,"Mleaf.modelled",474.030219747812,"ambient","1","4"
2013-11-22,"Mleaf.modelled",480.569043173011,"ambient","1","4"
2013-11-23,"Mleaf.modelled",479.534187211463,"ambient","1","4"
2013-11-24,"Mleaf.modelled",486.282663408837,"ambient","1","4"
2013-11-25,"Mleaf.modelled",497.451765579406,"ambient","1","4"
2013-11-26,"Mleaf.modelled",506.136220389493,"ambient","1","4"
2013-11-27,"Mleaf.modelled",516.258001334847,"ambient","1","4"
2013-11-28,"Mleaf.modelled",522.99691372523,"ambient","1","4"
2013-11-29,"Mleaf.modelled",526.435367455916,"ambient","1","4"
2013-11-30,"Mleaf.modelled",524.91896292222,"ambient","1","4"
2013-12-01,"Mleaf.modelled",533.343546452032,"ambient","1","4"
2013-12-02,"Mleaf.modelled",542.557655249983,"ambient","1","4"
2013-12-03,"Mleaf.modelled",550.894163416496,"ambient","1","4"
2013-12-04,"Mleaf.modelled",557.625674914994,"ambient","1","4"
2013-12-05,"Mleaf.modelled",562.718627750075,"ambient","1","4"
2013-12-06,"Mleaf.modelled",570.891967809491,"ambient","1","4"
2013-12-07,"Mleaf.modelled",579.800711084738,"ambient","1","4"
2013-12-08,"Mleaf.modelled",588.315405168598,"ambient","1","4"
2013-12-09,"Mleaf.modelled",594.125443609889,"ambient","1","4"
2013-12-10,"Mleaf.modelled",597.129086901611,"ambient","1","4"
2013-12-11,"Mleaf.modelled",603.166931159701,"ambient","1","4"
2013-12-12,"Mleaf.modelled",613.515336266537,"ambient","1","4"
2013-12-13,"Mleaf.modelled",624.35364927787,"ambient","1","4"
2013-12-14,"Mleaf.modelled",634.996506836773,"ambient","1","4"
2013-12-15,"Mleaf.modelled",641.095074769735,"ambient","1","4"
2013-12-16,"Mleaf.modelled",652.744705783706,"ambient","1","4"
2013-12-17,"Mleaf.modelled",663.939879593602,"ambient","1","4"
2013-12-18,"Mleaf.modelled",674.836267831884,"ambient","1","4"
2013-12-19,"Mleaf.modelled",683.261155834261,"ambient","1","4"
2013-12-20,"Mleaf.modelled",691.137561336308,"ambient","1","4"
2013-12-21,"Mleaf.modelled",694.99012986421,"ambient","1","4"
2013-12-22,"Mleaf.modelled",707.48250281065,"ambient","1","4"
2013-12-23,"Mleaf.modelled",716.448884813212,"ambient","1","4"
2013-12-24,"Mleaf.modelled",722.715830802069,"ambient","1","4"
2013-12-25,"Mleaf.modelled",725.838552241036,"ambient","1","4"
2013-12-26,"Mleaf.modelled",724.950938319503,"ambient","1","4"
2013-12-27,"Mleaf.modelled",741.799519785437,"ambient","1","4"
2013-12-28,"Mleaf.modelled",756.477235548516,"ambient","1","4"
2013-12-29,"Mleaf.modelled",773.887056005745,"ambient","1","4"
2013-12-30,"Mleaf.modelled",788.728170570436,"ambient","1","4"
2013-12-31,"Mleaf.modelled",798.831677595573,"ambient","1","4"
2014-01-01,"Mleaf.modelled",808.051830190832,"ambient","1","4"
2014-01-02,"Mleaf.modelled",817.788195846834,"ambient","1","4"
2014-01-03,"Mleaf.modelled",820.109533306809,"ambient","1","4"
2014-01-04,"Mleaf.modelled",827.761287223137,"ambient","1","4"
2014-01-05,"Mleaf.modelled",842.417044167501,"ambient","1","4"
2014-01-06,"Mleaf.modelled",860.2744611927,"ambient","1","4"
